origin_name,origin_code,destination_name,destination_code,value
Angola,AGO,Samoa,WSM,0
Angola,AGO,Yemen,YEM,0
Angola,AGO,South Africa,ZAF,0
Angola,AGO,Zambia,ZMB,0
Angola,AGO,Zimbabwe,ZWE,0
Albania,ALB,Aruba,ABW,0
Albania,ALB,Afghanistan,AFG,0
Albania,ALB,Angola,AGO,0
Albania,ALB,Albania,ALB,0
Albania,ALB,United Arab Emirates,ARE,0
Albania,ALB,Argentina,ARG,0
Albania,ALB,Armenia,ARM,0
Albania,ALB,Australia,AUS,12
Albania,ALB,Austria,AUT,0
Albania,ALB,Azerbaijan,AZE,0
Albania,ALB,Burundi,BDI,0
Albania,ALB,Belgium,BEL,432
Albania,ALB,Benin,BEN,0
Albania,ALB,Burkina Faso,BFA,0
Albania,ALB,Bangladesh,BGD,0
Albania,ALB,Bulgaria,BGR,329
Albania,ALB,Bahrain,BHR,0
Albania,ALB,Bahamas,BHS,0
Albania,ALB,Bosnia and Herzegovina,BIH,0
Albania,ALB,Belarus,BLR,0
Albania,ALB,Belize,BLZ,0
Albania,ALB,Bolivia,BOL,0
Albania,ALB,Brazil,BRA,0
Albania,ALB,Barbados,BRB,0
Albania,ALB,Brunei,BRN,0
Albania,ALB,Bhutan,BTN,0
Albania,ALB,Botswana,BWA,0
Albania,ALB,Central African Republic,CAF,0
Albania,ALB,Canada,CAN,38
Albania,ALB,Switzerland,CHE,0
Albania,ALB,Channel Islands,CHI,0
Albania,ALB,Chile,CHL,0
Albania,ALB,China,CHN,0
Albania,ALB,Ivory Coast,CIV,0
Albania,ALB,Cameroon,CMR,0
Albania,ALB,Democratic Republic of the Congo,COD,0
Albania,ALB,Republic of Congo,COG,0
Albania,ALB,Colombia,COL,0
Albania,ALB,Comoros,COM,0
Albania,ALB,Cape Verde,CPV,0
Albania,ALB,Costa Rica,CRI,0
Albania,ALB,Cuba,CUB,0
Albania,ALB,Cyprus,CYP,13
Albania,ALB,Czech Republic,CZE,117
Albania,ALB,Germany,DEU,5495
Albania,ALB,Djibouti,DJI,0
Albania,ALB,Denmark,DNK,41
Albania,ALB,Dominican Republic,DOM,0
Albania,ALB,Algeria,DZA,0
Albania,ALB,Ecuador,ECU,10
Albania,ALB,Egypt,EGY,0
Albania,ALB,Eritrea,ERI,0
Albania,ALB,Western Sahara,ESH,0
Albania,ALB,Spain,ESP,146
Albania,ALB,Estonia,EST,0
Albania,ALB,Ethiopia,ETH,0
Albania,ALB,Finland,FIN,46
Albania,ALB,Fiji,FJI,0
Albania,ALB,France,FRA,196
Albania,ALB,Micronesia,FSM,0
Albania,ALB,Gabon,GAB,0
Albania,ALB,United Kingdom,GBR,4402
Albania,ALB,Georgia,GEO,0
Albania,ALB,Ghana,GHA,0
Albania,ALB,Guinea,GIN,0
Albania,ALB,Guadeloupe,GLP,0
Albania,ALB,Gambia,GMB,0
Albania,ALB,Guinea-Bissau,GNB,0
Albania,ALB,Equatorial Guinea,GNQ,0
Albania,ALB,Greece,GRC,8912
Albania,ALB,Grenada,GRD,0
Albania,ALB,Guatemala,GTM,0
Albania,ALB,French Guiana,GUF,0
Albania,ALB,Guam,GUM,0
Albania,ALB,Guyana,GUY,0
